token;is_stopword;token_count
#1;No;2
#23;No;2
#3;No;2
#5;No;4
#badbitchalert;No;1
#madrichalert;No;1
#metoo'd;No;1
$10;No;4
$1199;No;1
$125;No;1
$2000;No;1
$399;No;1
$550;No;1
$655;No;1
$hort;No;4
$ign;No;1
$tupid;No;1
&;Yes;91
&#1040ll;No;3
&#1040nd;No;2
&#1089h&#1086irs;No;1
&#12393&#12428&#12367&#12425&#12356;No;2
&#12397&#12360;No;8
&#20170&#20253&#12360&#12383&#12356&#12371&#12392&#12424&#12381&#12395;No;2
&#21021&#12417&#12390&#12398&#12424&#12358&#12395&#27497&#12365&#12383&#12356;No;2
&#26089&#12367&#20250&#12356&#12383&#12356;No;1
&#269lánku;No;1
&#28023&#12399;No;4
&#29983&#12414&#12428&#12388&#12365;No;2
&#305n;No;1
&#305zd&#305rap;No;1
&#31169&#12398&#22320&#22259&#12395&#36617&#12387&#12390&#12356&#12394&#12356;No;4
&#31169&#12398&#30693&#12425&#12394&#12356&#31169&#12395;No;1
&#31505&#12360&#12400&#12356&#12356;No;2
&#33222&#30149&#12394&#20154&#12394&#12435&#12390&#12356&#12394&#12356;No;2
&#351iddetlerin;No;1
&#351iirin;No;1
&#36947&#12395&#31435&#12385&#12383&#12356;No;2
&#36960&#12367&#12394&#12356;No;4
&#44536&#44172;No;1
&#44536&#45285;No;1
&#44536&#47000;No;4
&#45208;No;4
&#45208&#47484;No;1
&#45236&#44032;No;3
&#45324;No;3
&#45796&#49884;No;1
&#45908;No;1
&#45908&#47101&#44172;No;6
&#46384&#46972&#54644;No;1
&#47560&#52824;No;1
&#47564;No;1
&#47673&#50612;No;1
&#47680&#48120;No;2
&#47784&#46160&#47484;No;1
&#48260&#47495&#52376&#47100;No;1
&#48520&#51060;No;2
&#49436&#50872&#51060&#45796;No;1
&#49464&#49345&#51012;No;2
&#50584;No;2
&#50612&#47480&#52376&#47100;No;1
&#50616&#45768;No;1
&#50620&#47140;No;1
&#50620&#51020&#52376&#47100;No;1
&#50857&#51060&#51648;No;2
&#50924&#47564&#54616&#47732;No;2
&#51060&#44144&#45208;No;1
&#51060&#47492&#51008;No;2
&#51232&#53952&#54620;No;1
&#51452&#47732;No;1
&#51600&#44200&#48400;No;1
&#52376&#51020&#52376&#47100;No;1
&#54217&#49548&#50644;No;1
&#54868&#45208&#47732;No;2
&#55124&#46308&#47732;No;2
&#626i;No;6
&#64257eld;No;2
&#64258ashing;No;1
&#8222hey;No;2
&#8226&#8226&#8226;No;1
&#8231;No;1
&#921;No;1
'02;No;1
'03;No;5
'06;No;4
'09;No;1
'25;No;2
'38;No;2
'39;No;6
'41;No;1
'45;No;7
'49;No;3
'50;No;1
'50s;No;1
'51;No;1
'52;No;1
'53;No;2
'54;No;3
'55;No;4
'56;No;1
'57;No;2
'58;No;1
'59;No;5
