artist_name;symbol;token_count;index_symbol_artist
Anthrax;money;17;26
Anthrax;crime;14;27
Anthrax;bitch;8;28
Anthrax;cities;6;29
Anthrax;weed/drugs/booze;5;30
Anthrax;sex;3;31
Aretha Franklin;love/tender;2851;1
Aretha Franklin;people;800;2
Aretha Franklin;sentiment;555;3
Aretha Franklin;suffering;344;4
Aretha Franklin;part of body;327;5
Aretha Franklin;day;313;6
Aretha Franklin;night;296;7
Aretha Franklin;life;248;8
Aretha Franklin;time references;214;9
Aretha Franklin;God/Christ;213;10
Aretha Franklin;freedom;163;11
Aretha Franklin;dream;136;12
Aretha Franklin;nature;120;13
Aretha Franklin;authority/power;63;14
Aretha Franklin;insane;59;15
Aretha Franklin;darkness;51;16
Aretha Franklin;death;50;17
Aretha Franklin;fire;39;18
Aretha Franklin;city;32;19
Aretha Franklin;hell;31;20
Aretha Franklin;money;28;21
Aretha Franklin;killing;12;22
Aretha Franklin;crime;9;23
Aretha Franklin;the hood;9;24
Aretha Franklin;hate;6;25
Aretha Franklin;sex;4;26
Artic Monkeys;love/tender;198;1
Artic Monkeys;part of body;190;2
Artic Monkeys;people;137;3
Artic Monkeys;sentiment;102;4
Artic Monkeys;day;61;5
Artic Monkeys;time references;54;6
Artic Monkeys;night;49;7
Artic Monkeys;nature;45;8
Artic Monkeys;suffering;32;9
Artic Monkeys;city;31;10
Artic Monkeys;bad words;23;11
Artic Monkeys;darkness;20;12
Artic Monkeys;insane;18;13
Artic Monkeys;death;13;14
Artic Monkeys;hate;12;15
Artic Monkeys;freedom;11;16
Artic Monkeys;war/weapons;10;17
Artic Monkeys;authority/power;8;18
Artic Monkeys;fire;8;19
Artic Monkeys;life;8;20
Artic Monkeys;money;8;21
Artic Monkeys;dream;6;22
Artic Monkeys;God/Christ;6;23
Artic Monkeys;hell;4;24
Artic Monkeys;killing;3;25
Artic Monkeys;sex;3;26
Beyonce;love/tender;1545;1
Beyonce;people;1055;2
Beyonce;part of body;486;3
Beyonce;sentiment;455;4
Beyonce;life;244;5
Beyonce;night;176;6
Beyonce;suffering;169;7
Beyonce;authority/power;150;8
Beyonce;time references;125;9
Beyonce;insane;122;10
Beyonce;day;103;11
Beyonce;bad words;95;12
Beyonce;nature;95;13
Beyonce;freedom;93;14
Beyonce;hell;84;15
Beyonce;God/Christ;83;16
Beyonce;dream;82;17
Beyonce;bitch;76;18
Beyonce;money;59;19
Beyonce;city;48;20
Beyonce;fire;45;21
Beyonce;death;44;22
Beyonce;nigga;41;23
Beyonce;hate;33;24
Beyonce;sex;33;25
Beyonce;killing;30;26
Beyonce;crime;29;27
Beyonce;war/weapons;26;28
Beyonce;the hood;17;29
Beyonce;darkness;16;30
Beyonce;weed/drugs/booze;12;31
Beyonce;cities;5;32
Billie Eilish;people;89;1
Billie Eilish;part of body;79;2
Billie Eilish;love/tender;51;3
Billie Eilish;sentiment;48;4
Billie Eilish;suffering;31;5
Billie Eilish;death;16;6
Billie Eilish;time references;16;7
Billie Eilish;day;12;8
Billie Eilish;life;12;9
Billie Eilish;hell;10;10
Billie Eilish;fire;9;11
Billie Eilish;authority/power;8;12
Billie Eilish;city;7;13
Billie Eilish;dream;7;14
Billie Eilish;insane;6;15
Billie Eilish;nature;6;16
Billie Eilish;hate;5;17
Billie Eilish;night;5;18
Billie Eilish;bad words;4;19
Billie Eilish;bitch;4;20
Billie Eilish;crime;4;21
Billie Eilish;killing;4;22
Billie Eilish;money;4;23
Britney Spears;love/tender;376;1
Britney Spears;people;208;2
Britney Spears;sentiment;176;3
Britney Spears;part of body;117;4
Britney Spears;fire;91;5
Britney Spears;time references;76;6
Britney Spears;suffering;70;7
Britney Spears;life;56;8
Britney Spears;insane;54;9
Britney Spears;night;54;10
Britney Spears;day;53;11
Britney Spears;death;23;12
Britney Spears;sex;21;13
Britney Spears;nature;17;14
Britney Spears;war/weapons;16;15
Britney Spears;dream;10;16
Britney Spears;crime;8;17
Britney Spears;darkness;7;18
Britney Spears;hell;7;19
Britney Spears;bad words;6;20
Britney Spears;killing;6;21
Britney Spears;freedom;5;22
Britney Spears;money;4;23
David Bowie;people;1074;1
David Bowie;love/tender;809;2
David Bowie;part of body;777;3
David Bowie;day;381;4
David Bowie;sentiment;381;5
David Bowie;life;363;6
David Bowie;time references;327;7
David Bowie;nature;259;8
David Bowie;suffering;213;9
David Bowie;death;205;10
David Bowie;God/Christ;180;11
David Bowie;city;168;12
David Bowie;night;144;13
David Bowie;dream;123;14
David Bowie;fire;113;15
David Bowie;freedom;94;16
David Bowie;authority/power;92;17
David Bowie;insane;85;18
David Bowie;war/weapons;84;19
David Bowie;sex;64;20
David Bowie;money;60;21
David Bowie;hell;58;22
David Bowie;crime;54;23
David Bowie;darkness;49;24
David Bowie;cities;40;25
David Bowie;killing;33;26
David Bowie;bad words;29;27
David Bowie;the hood;29;28
David Bowie;bitch;12;29
David Bowie;hate;12;30
David Bowie;destruction;8;31
David Bowie;weed/drugs/booze;5;32
David Guetta;love/tender;806;1
David Guetta;people;407;2
David Guetta;sentiment;327;3
David Guetta;part of body;249;4
David Guetta;life;177;5
David Guetta;fire;148;6
David Guetta;night;123;7
David Guetta;money;97;8
David Guetta;suffering;94;9
David Guetta;day;85;10
David Guetta;sex;66;11
David Guetta;time references;66;12
David Guetta;freedom;59;13
David Guetta;death;56;14
David Guetta;insane;53;15
David Guetta;nature;50;16
David Guetta;bad words;41;17
David Guetta;killing;31;18
David Guetta;darkness;29;19
David Guetta;crime;27;20
David Guetta;dream;27;21
David Guetta;authority/power;22;22
David Guetta;hell;22;23
David Guetta;God/Christ;19;24
David Guetta;war/weapons;17;25
David Guetta;city;15;26
David Guetta;hate;9;27
David Guetta;bitch;5;28
Dolly Parton;love/tender;1140;1
Dolly Parton;people;615;2
Dolly Parton;sentiment;485;3
Dolly Parton;part of body;463;4
Dolly Parton;life;370;5
Dolly Parton;suffering;240;6
Dolly Parton;day;223;7
Dolly Parton;time references;217;8
Dolly Parton;God/Christ;210;9
Dolly Parton;nature;195;10
Dolly Parton;night;129;11
Dolly Parton;dream;105;12
Dolly Parton;fire;102;13
Dolly Parton;hell;97;14
Dolly Parton;city;91;15
Dolly Parton;death;88;16
Dolly Parton;freedom;46;17
Dolly Parton;insane;44;18
Dolly Parton;war/weapons;44;19
Dolly Parton;darkness;41;20
Dolly Parton;money;30;21
Dolly Parton;hate;25;22
Dolly Parton;authority/power;18;23
Dolly Parton;killing;16;24
Dolly Parton;cities;13;25
Dolly Parton;the hood;8;26
Dolly Parton;destruction;3;27
Dolly Parton;sex;3;28
Dolly Parton;weed/drugs/booze;3;29
Ed Sheeran;love/tender;1007;1
Ed Sheeran;part of body;478;2
Ed Sheeran;people;423;3
Ed Sheeran;sentiment;349;4
Ed Sheeran;life;167;5
Ed Sheeran;suffering;145;6
Ed Sheeran;day;138;7
Ed Sheeran;night;132;8
Ed Sheeran;time references;115;9
Ed Sheeran;fire;98;10
Ed Sheeran;nature;69;11
Ed Sheeran;God/Christ;56;12
Ed Sheeran;death;48;13
Ed Sheeran;cities;46;14
Ed Sheeran;dream;38;15
Ed Sheeran;freedom;38;16
Ed Sheeran;bad words;37;17
Ed Sheeran;city;33;18
Ed Sheeran;insane;32;19
Ed Sheeran;darkness;30;20
Ed Sheeran;weed/drugs/booze;30;21
Ed Sheeran;money;29;22
Ed Sheeran;hate;26;23
Ed Sheeran;hell;19;24
Ed Sheeran;crime;14;25
Ed Sheeran;war/weapons;14;26
Ed Sheeran;the hood;12;27
Ed Sheeran;authority/power;11;28
Ed Sheeran;killing;8;29
Ed Sheeran;bitch;7;30
Ed Sheeran;sex;4;31
Ed Sheeran;destruction;3;32
Elvis Presley;love/tender;3027;1
Elvis Presley;people;1229;2
Elvis Presley;sentiment;978;3
Elvis Presley;part of body;871;4
