artist_name,sentiment_weight,token_count,sentiment_density,artist_sentiment_weight_index
Aretha Franklin,1518.7433333333374,23874,0.0636149507134681,1
Spice Girls,204.02499999999986,5293,0.03854619308520685,2
Elvis Presley,1599.3383333333345,42010,0.038070419741331456,3
Mariah Carey,14.24,388,0.036701030927835054,4
Backstreet Boys,462.5849999999997,13489,0.03429349840610866,5
Justin Bieber,466.47499999999957,15484,0.03012625936450527,6
Frank Sinatra,973.059999999998,33194,0.02931433391576785,7
James Brown,312.58833333333325,12203,0.025615695593979616,8
Dolly Parton,591.0116666666656,24207,0.02441490753363348,9
Britney Spears,131.67499999999998,5553,0.023712407707545468,10
Madonna,616.6083333333331,27446,0.02246623673152128,11
Beyonce,395.64499999999924,24730,0.01599858471492112,12
Lady Gaga,236.66999999999982,16458,0.014380240612468089,13
David Guetta,161.49833333333325,11339,0.01424273157538877,14
Michael Jackson,256.6849999999997,18875,0.01359920529801323,15
Queen,150.6899999999996,14380,0.010479137691237803,16
The White Strips,52.76833333333335,5660,0.009323027090694939,17
The Eagles,56.525000000000105,6772,0.008346869462492633,18
Red Hot Chilli Peppers,135.85833333333292,20984,0.00647437730334221,19
Taylor Swift,122.33499999999968,20368,0.006006235271013339,20
Katy Perry,63.744999999999926,12879,0.004949530243031286,21
Ed Sheeran,70.05499999999994,16609,0.004217893912938764,22
Johnny Cash,-291.6633333333355,57376,-0.005083368191113628,23
Adele,-19.354999999999993,3791,-0.005105513057240832,24
David Bowie,-246.59166666666724,30878,-0.007985998661398642,25
Artic Monkeys,-71.76666666666664,8846,-0.008112894717009567,26
Amy Winehouse,-33.36833333333331,3425,-0.009742579075425785,27
Sex Pistols,-38.000000000000014,2520,-0.015079365079365085,28
The Cure,-214.03000000000029,12909,-0.01657990549229222,29
The Clash,-308.5650000000007,12829,-0.02405214747836937,30
Billie Eilish,-59.72499999999998,2235,-0.026722595078299768,31
Kanye West,-953.4266666666681,32604,-0.02924262871631297,32
Judas Priest,-611.2750000000013,18552,-0.03294927770590779,33
System Of A Down,-285.5700000000002,8208,-0.03479166666666669,34
Evanescence,-191.81166666666687,5379,-0.03565935427898622,35
Iron Maiden,-758.4216666666672,19423,-0.039047606789201834,36
Black Sabbath,-587.8016666666673,14016,-0.04193790429984784,37
Anthrax,-585.7616666666682,13477,-0.04346380252776347,38
Megadeth,-797.0550000000015,17476,-0.04560854886701771,39
Metallica,-796.2133333333351,16415,-0.04850522895725465,40
Pantera,-71.58999999999995,1421,-0.05038001407459532,41
Skrillex,-238.51500000000036,4701,-0.05073707721761335,42
Accept,-583.8600000000013,10726,-0.05443408539996283,43
Manowar,-696.8266666666682,12375,-0.056309225589225714,44
Snoop Dogg,-4072.3599999999838,70339,-0.05789618845874954,45
Eminem,-4477.549999999962,71645,-0.06249633610161159,46
Hollywood undead,-1270.7266666666646,19775,-0.06425924989464803,47
Slipknot,-836.2300000000014,10647,-0.0785413731567579,48
50 cent,-2963.9599999999946,32803,-0.0903563698442214,49
