artist_name;song_title
Frank Sinatra;Hello, Dolly!
Frank Sinatra;Hello, Young Lovers
Frank Sinatra;Here Goes
Frank Sinatra;Here's That Rainy Day
Frank Sinatra;Here's To The Band
Frank Sinatra;Here's To The Losers
Frank Sinatra;Hey Look, No Crying
Frank Sinatra;Hey! Jealous Lover
Frank Sinatra;Hidden Persuasion
Frank Sinatra;High Hopes
Frank Sinatra;How About You?
Frank Sinatra;How Are Ya' Fixed For Love?
Frank Sinatra;How Could You Do A Thing Like That To Me
Frank Sinatra;How Deep Is The Ocean?
Frank Sinatra;How Do You Keep The Music Playing?
Frank Sinatra;How Insensitive (Insensatez)
Frank Sinatra;How Little It Matters How Little We Know
Frank Sinatra;How Old Am I?
Frank Sinatra;I Believe
Frank Sinatra;I Believe I'm Gonna Love You
Frank Sinatra;I Believe In You
Frank Sinatra;I Can Read Between The Lines
Frank Sinatra;I Can't Believe I'm Losing You
Frank Sinatra;I Can't Believe That You're In Love With Me
Frank Sinatra;I Can't Get Started
Frank Sinatra;I Can't Stop Loving You
Frank Sinatra;I Concentrate On You
Frank Sinatra;I Could Have Danced All Night
Frank Sinatra;I Could Have Told You
Frank Sinatra;I Couldn't Care Less
Frank Sinatra;I Couldn't Sleep A Wink Last Night
Frank Sinatra;I Cover The Waterfront
Frank Sinatra;I Don't Know Why (I Just Do)
Frank Sinatra;I Fall In Love Too Easily
Frank Sinatra;I Get A Kick Out Of You
Frank Sinatra;I Get Along Without You Very Well
Frank Sinatra;I Got It Bad (And That Ain't Good)
Frank Sinatra;I Got Plenty O' Nuttin'
Frank Sinatra;I Gotta Right To Sing The Blues
Frank Sinatra;I Guess I'll Have To Change My Plan
Frank Sinatra;I Had The Craziest Dream
Frank Sinatra;I Hadn't Anyone Till You
Frank Sinatra;I Have Dreamed
Frank Sinatra;I Heard The Bells On Chrsitmas Day
Frank Sinatra;I Left My Heart In San Francisco
Frank Sinatra;I Like The Sunrise
Frank Sinatra;I Like To Lead When I Dance
Frank Sinatra;I Love My Wife
Frank Sinatra;I Love Paris
Frank Sinatra;I Love You
Frank Sinatra;I Loved Her
Frank Sinatra;I Never Knew
Frank Sinatra;I Only Have Eyes For You
Frank Sinatra;I See It Now
Frank Sinatra;I See Your Face Before Me
Frank Sinatra;I Sing The Songs (I Write The Songs)
Frank Sinatra;I Think Of You
Frank Sinatra;I Thought About You
Frank Sinatra;I Wanna Be Around
Frank Sinatra;I Will Drink The Wine
Frank Sinatra;I Will Wait For You
Frank Sinatra;I Wish I Were In Love Again
Frank Sinatra;I Wish You Love
Frank Sinatra;I Wished On The Moon
Frank Sinatra;I Won't Dance
Frank Sinatra;I Would Be In Love (Anyway)
Frank Sinatra;I Wouldn't Trade Christmas
Frank Sinatra;I'll Be Around
Frank Sinatra;I'll Be Home For Christmas
Frank Sinatra;I'll Be Seeing You
Frank Sinatra;I'll Follow My Secret Heart
Frank Sinatra;I'll Never Be The Same
Frank Sinatra;I'll Never Smile Again
Frank Sinatra;I'll Only Miss Her When I Think Of Her
Frank Sinatra;I'll Remember April
Frank Sinatra;I'll See You Again
Frank Sinatra;I'm A Fool To Want You
Frank Sinatra;I'm Beginning To See The Light
Frank Sinatra;I'm Getting Sentimental Over You
Frank Sinatra;I'm Gonna Live Till I Die
Frank Sinatra;I'm Gonna Make It All The Way
Frank Sinatra;I'm Gonna Sit Right Down (And Write Myself A Letter)
Frank Sinatra;I'm Not Afraid
Frank Sinatra;I'm Sorry I Made You Cry
Frank Sinatra;I'm Walking Behind You
Frank Sinatra;I've Been To Town
Frank Sinatra;I've Got A Crush On You
Frank Sinatra;I've Got My Love To Keep Me Warm
Frank Sinatra;I've Got You Under My Skin
Frank Sinatra;I've Had My Moments
Frank Sinatra;I've Heard That Song Before
Frank Sinatra;I've Never Been In Love Before
Frank Sinatra;If
Frank Sinatra;If I Ever Love Again
Frank Sinatra;If I Had Three Wishes
Frank Sinatra;If I Had You
Frank Sinatra;If I Should Lose You
Frank Sinatra;If It's The Last Thing I Do
Frank Sinatra;If You Are But A Dream
Frank Sinatra;If You Go Away
Frank Sinatra;If You Never Come To Me
Frank Sinatra;Ill Wind
Frank Sinatra;Imagination
Frank Sinatra;In The Blue Of Evening
Frank Sinatra;In The Cool, Cool, Cool Of The Evening
Frank Sinatra;In The Shadow Of The Moon
Frank Sinatra;In The Still Of The Night
Frank Sinatra;In The Wee Small Hours Of The Morning
Frank Sinatra;Indian Summer
Frank Sinatra;Indiscreet
Frank Sinatra;Isle Of Capri
Frank Sinatra;Isn't She Lovely?
Frank Sinatra;It All Depends On You
Frank Sinatra;It Came Upon A Midnight Clear
Frank Sinatra;It Could Happen To You
Frank Sinatra;It Gets Lonely Early
Frank Sinatra;It Had To Be You
Frank Sinatra;It Happened In Monterey
Frank Sinatra;It Might As Well Be Spring
Frank Sinatra;It Never Entered My Mind
Frank Sinatra;It Started All Over Again
Frank Sinatra;It Was A Very Good Year
Frank Sinatra;It Worries Me
Frank Sinatra;It's A Blue World
Frank Sinatra;It's A Lonesome Old Town
Frank Sinatra;It's A Wonderful World
Frank Sinatra;It's All Right With Me
Frank Sinatra;It's Always You
Frank Sinatra;It's Easy To Remember
Frank Sinatra;It's Nice To Go Trav'ling
Frank Sinatra;It's Only A Paper Moon
Frank Sinatra;It's Sunday
Frank Sinatra;It's The Same Old Dream
Frank Sinatra;Jeepers Creepers
Frank Sinatra;Jingle Bells
Frank Sinatra;Just As Though You Were Here
Frank Sinatra;Just Friends
Frank Sinatra;Just In Time
Frank Sinatra;Just One Of Those Things
Frank Sinatra;Just The Way You Are
Frank Sinatra;L.A. Is My Lady
Frank Sinatra;Lady Day
Frank Sinatra;Last Night When We Were Young
Frank Sinatra;Laura
Frank Sinatra;Lean Baby
Frank Sinatra;Learnin' The Blues
