artist_name;song_title
Michael Jackson;(I Can't Make It) Another Day
Michael Jackson;(I Like) The Way You Love Me
Michael Jackson;2 Bad
Michael Jackson;2000 Watts
Michael Jackson;A Place With No Name
Michael Jackson;Ain't No Sunshine
Michael Jackson;Al Capone
Michael Jackson;All I Need
Michael Jackson;All In Your Name
Michael Jackson;All Right
Michael Jackson;All The Things You Are
Michael Jackson;Another Part Of Me
Michael Jackson;Baby Be Mine
Michael Jackson;Bad
Michael Jackson;Bad (Afrojack Remix) (DJ Buddha Edit)
Michael Jackson;Beat It
Michael Jackson;Beat It/State of Shock (Immortal Version)
Michael Jackson;Beautiful Girl
Michael Jackson;Behind The Mask
Michael Jackson;Ben
Michael Jackson;Ben (Immortal Version)
Michael Jackson;Best Of Joy
Michael Jackson;Billie Jean
Michael Jackson;Black Or White
Michael Jackson;Black Widow
Michael Jackson;Blood On The Dance Floor
Michael Jackson;Blood On The Dance Floor x Dangerous (The White Panda Mash-Up)
Michael Jackson;Blue Gangsta
Michael Jackson;Break Of Dawn
Michael Jackson;Breaking News
Michael Jackson;Burn The Disco Out
Michael Jackson;Burn Tonight
Michael Jackson;Butterflies
Michael Jackson;Butterflies (Remix)
Michael Jackson;Call On Me
Michael Jackson;Can You Feel It
Michael Jackson;Can't Get Outta The Rain
Michael Jackson;Can't Get Your Weight Off Of Me
Michael Jackson;Can't Let Her Get Away
Michael Jackson;Carousel
Michael Jackson;Cheater
Michael Jackson;Chicago
Michael Jackson;Childhood
Michael Jackson;Childhood (Immortal Version)
Michael Jackson;Cinderella Stay Awhile
Michael Jackson;Come Together
Michael Jackson;Cry
Michael Jackson;D.S.
Michael Jackson;Dancing Machine/Blame It On The Boogie (Immortal Version)
Michael Jackson;Dangerous
Michael Jackson;Dangerous (Immortal Version)
Michael Jackson;Dapper Dan (Freestyle)
Michael Jackson;Days In Gloucestershire
Michael Jackson;Dear Michael
Michael Jackson;Diamonds Are Invincible
Michael Jackson;Dirty Diana
Michael Jackson;Do You Know Where Your Children Are
Michael Jackson;Doggin' Around
Michael Jackson;Don't Be Messin' 'Round
Michael Jackson;Don't Let It Get You Down
